Otázka,Správná o.,Špatná o. 1,Špatná o. 2,Špatná o. 3
Vitalismus je...,Filozofický směr,Ekonomický směr,Hudební směr,Náboženský směr
Kdo byl jedním z hlavních představitelů vitalismu?,Henri Bergson,Albert Einstein,Isaac Newton,Friedrich Nietzsche
Podle vitalismu má každá věc...,Život,Smrt,Bezvýznamnost,Moc
Co bylo pro vitalisty důležité?,Vnitřní prožitek a intuice,Racionální uvažování a vědecké poznání,Společenská angažovanost a etika,Ekonomický úspěch
Jakými vlastnostmi je charakteristický civilismus?,Národní hrdost,Společenská angažovanost a kritické myšlení,Individualismus a touha po osobní svobodě,Relativismus a skepticismus
Kdo byl významným představitelem civilismu?,T.G. Masaryk,Franz Kafka,Karel Čapek,Jan Neruda
Co bylo pro civilisty důležité?,Aktivní účast na veřejném životě a společenská kritika,Estetické hodnoty a umělecké projevy,Individuální svoboda a ekonomický úspěch,Religiozita a morálka
Kdo je považován za zakladatele prokletých básníků?,Charles Baudelaire,Paul Verlaine,Arthur Rimbaud,Stéphane Mallarmé
Jak se nazývá sbírka básní Charlese Baudelaira, která je považována za vrchol prokletých básníků?,Květy zla,Milenky noci,Opičí král,Les Illuminations
Který z básníků měl problémy s alkoholem a drogami?,Arthur Rimbaud,Paul Verlaine,Charles Baudelaire,Stéphane Mallarmé
Jakým způsobem se projevovaly Baudelairovy zájmy?,Označoval nesouhlas s viktoriánským způsobem myšlení, upřednostňoval uměleckou originalitu a exotické zdroje inspirace, vysmíval se střední třídě a konvenčním hodnotám, vyzdvihoval krásu přírody a venkovského života
Kdo z prokletých básníků měl vztah s Paulem Verlainem?,Arthur Rimbaud,Charles Baudelaire,Stéphane Mallarmé,Gérard de Nerval
Jakým stylem se vyznačuje poezie Paula Verlaina?,Impresionismus,Symbolismus,Dekadence,Klasicismus
Který z básníků napsal sbírku básní Illuminace a odchází se svým stylem blíž k surrealismu?,Arthur Rimbaud,Charles Baudelaire,Stéphane Mallarmé,Gérard de Nerval
