Otázka,Správná o.,Špatná o. 1,Špatná o. 2,Špatná o. 3
Co je základní myšlenkou surrealismu?,Spojení snového světa s realitou,Přeměna reálných objektů na surrealistické, Výrazismus v malířství, Sběratelství umění
Kdo byl jedním z předních představitelů surrealismu v malířství?,Salvador Dalí,René Magritte, Max Ernst, Joan Miró
Kdy se surrealismus poprvé objevil jako literární směr?,V roce 1924,V roce 1910, V roce 1930, V roce 1940
Jaký je vztah surrealismu k Freudově psychoanalýze?,Surrealismus se inspiroval Freudovým pojetím nevědomí a snového světa, Freud byl odpůrcem surrealismu, Surrealisté se snažili o vytvoření nové psychoanalytické teorie, Surrealismus se vůbec nezabýval psychoanalýzou
Jaké byly oblíbené techniky v surrealistickém umění?,Automatismus, koláže, asambláže, malba, sochařství, kresba,Instalace, performance, akce, fotografie, video, Dřevořez, litografie, lept, Žádná z výše uvedených
Kdo napsal slavný surrealistický román "Andělé a motýli"?,Julien Gracq, Raymond Queneau, Boris Vian, Henri Michaux
Jaký byl cíl surrealistického umění?,Oslovení divákova nevědomí a podvědomí, Populárnost a umělecká kvalita, Obchodní úspěch a zisk, Oslava tradic a historie
Jak se nazývá technika, kdy se náhodným řezáním papíru vytvářejí nové formy?,Koláž,Automatismus, Asambláž, Fotografie
Jaké téma se často objevovalo v surrealistickém umění?,Erotika a sexuality, Válka a násilí, Příroda a krajina, Náboženství a spiritualita
Kdo byl francouzský básník a jeden z klíčových představitelů surrealismu?,André Breton, Guillaume Apollinaire, Paul Éluard, Arthur Rimbaud
