Otázka,Správná o.,Špatná o. 1,Špatná o. 2,Špatná o. 3
Jaký symbolický motiv často využívali symbolisté ve své poezii?, Křehkost a zmar, Láska a vášeň, Odvaha a síla, Moudrost a trpělivost
Který francouzský básník je považován za jednoho z nejvýznamnějších představitelů symbolistického hnutí?, Charles Baudelaire, Victor Hugo, Paul Verlaine, Arthur Rimbaud
Jaký byl hlavní cíl symbolistického umění?, Vyjádřit neviditelné a duchovní skutečnosti, Zobrazit přesnou realitu, Vytvořit dokonalou kopii přírody, Popsat své city a emoce
Kdo byl autorem slavné básně "Květiny zla", která je považována za symbolistické dílo?, Charles Baudelaire, Paul Verlaine, Arthur Rimbaud, Stéphane Mallarmé
Jaký je vztah symbolistického umění k přírodě?, Symbolisté se často soustředili na duchovní a imaginární aspekty přírody, Symbolisté se snažili vytvořit dokonalou kopii přírody, Symbolisté odmítali přírodu a soustředili se na lidské city a emoce
Kde vzniklo symbolistické hnutí?, Ve Francii, V Německu, V Anglii, V Rusku
Kdo je považován za zakladatele impresionismu?, Claude Monet, Vincent van Gogh, Paul Cézanne, Edgar Degas
Jaké jsou typické znaky impresionistického umění?, Zachycení okamžitého dojmu, Silné světelné efekty, Barevná harmonie, Všechny výše uvedené
Kde se konala první výstava impresionistických umělců?, Paříž, Londýn, Berlín, Vídeň
Který malíř byl znám svými obrazy vodních lilii a jezero v zahradě svého domu v Giverny?, Claude Monet, Vincent van Gogh, Paul Cézanne, Edgar Degas
Které techniky používali impresionisté v malbě?, Rychlé a volné tahy štětce, Barevné sklady, Světelné efekty, Všechny výše uvedené
Kdo byl autorem slavného impresionistického obrazu "Koupání na La Grenouillere"?, Pierre-Auguste Renoir, Claude Monet, Berthe Morisot, Edgar Degas
Otázka, Správná odpověď, Špatná odpověď 1, Špatná odpověď 2, Špatná odpověď 3
Co bylo charakteristické pro dekadentní umění?, Pocit úpadku a morálního rozkladu, Optimismus a naděje, Radost ze života, Lásku k přírodě
Jaký francouzský básník je často spojován s dekadentním hnutím?, Charles Baudelaire, Arthur Rimbaud, Paul Verlaine, Stéphane Mallarmé
Jaký byl hlavní vliv na vznik dekadentního hnutí?, Romantismus, Naturalismus, Symbolismus, Klasicismus
Otázka, Správná odpověď, Špatná odpověď 1, Špatná odpověď 2, Špatná odpověď 3
Které téma se často objevovalo v dekadentní literatuře a umění?, Násilí a smrt, Láska a vášeň, Příroda a krajinomalba, Radost ze života
Která země byla centrem dekadentního hnutí v 19. století?, Francie, Německo, Anglie, Itálie
Jaké jsou typické rysy dekadentní poezie?, Používání symbolů a alegorií, Zvýrazňování emocí a pocitů, Intimní tón, Všechny výše uvedené
