Otázka,Správná o.,Špatná o. 1,Špatná o. 2,Špatná o. 3
Kdo je autorem básně "Máj"?,Karel Hynek Mácha,Jan Neruda,Jaroslav Vrchlický,Božena Němcová
Jaký název má román, ve kterém se prolínají historické a fantastické motivy a který napsal Erben?,Kytice z pověstí národních, Babička, Štědrý den, Tyrolské elegie
Kdo napsal román "Evžen Oněgin"?,Alexander Sergejevič Puškin,Leo Tolstoj,Ivan Sergejevič Turgeněv,Dostojevskij
Kdo je autorem sbírky "Cikáni"?,Karel Hynek Mácha,Josef Kajetán Tyl,Jaroslav Vrchlický,Jan Neruda
Jak se jmenuje hrdina básně, kterou napsal Karel Hynek Mácha a která vypráví o lásce studenta k Vile?,Márinka, Viléma, Karolína, Kristýna
Kdo napsal román "Oliver Twist"?,Charles Dickens,Jane Austen,Emily Bronte,Charlotte Bronte
Který romantický básník je autorem sbírky "Písně nevěrného milence"?,Karel Hynek Mácha,Johann Wolfgang von Goethe,Adam Mickiewicz,Heinrich Heine
Jak se jmenuje hlavní postava v románu "Básníkův život" od E.T.A. Hoffmanna?,Johann Wolfgang von Goethe,Friedrich Schiller,Ludwig van Beethoven,George Byron
Kdo napsal sbírku básní "Sonety k Laurě"?,Francesco Petrarca,Dante Alighieri,Giovanni Boccaccio,Alessandro Manzoni
Jakým jménem se nazývá hrdina románu "Hrdina naší doby" od Michaila Lermontova?,Pečorin,Oněgin,Raskolnikov,Rudin
Kdy se romantismus jako umělecký směr objevil?,V průběhu 18. století,V průběhu 19. století,V průběhu 20. století,V průběhu 17. století
Které země se staly hlavními centry romantismu v literatuře?,Německo, Anglie, Francie, Itálie
Jakými společenskými změnami byl romantismus inspirován?,Revolučními změnami, Industrializací, Rozvojem městského života, Vznikem státních národů
Který romantický básník psal o divočině a přírodě jako o něčem nezkroceném a tajemném?,William Wordsworth,John Keats,Percy Bysshe Shelley,Samuel Taylor Coleridge
Které zvíře se často objevuje v romantické literatuře jako symbol nezkrocené divočiny a svobody?,Vlk,Medvěd,Rys,Lev
Jakým tématem se zabývají mnohé romantické básně?,Láska a smrt, Válka a politické změny, Filozofie a náboženství, Kritika moderní společnosti
Který romantický básník je autorem slavné básně "Ode to a Nightingale"?,John Keats,Percy Bysshe Shelley,William Wordsworth,Samuel Taylor Coleridge
Jak se nazývá slavná romantická sbírka básní Williama Blakea, která obsahuje básně jako "The Tyger" a "The Lamb"?,Songs of Innocence and of Experience, The Marriage of Heaven and Hell, The Book of Thel, The Four Zoas
Která literární postava z románu Mary Shelleyové "Frankenstein" je příkladem romantického hrdiny?,Victor Frankenstein, Henry Clerval, Robert Walton, Justine Moritz
Který romantický básník je autorem slavné balady "Rytíř Blaník"?,Karel Hynek Mácha,Adam Mickiewicz,Aleksandr Sergejevič Puškin,Josef Kajetán Tyl
